Item,Register,SubRegister,ID,Index,Bit Locate,Type,Physical Address,Enumeration,Range,Description,Default Value,Bitwidth configuare,Min,Max,Constraint
FME0,ALIGNMENT_KCKW,,3,25,[9:0] ~ [21:0],RW,DE0001E4,,"range(0, 2**22)",byte,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2**22-1,
FME0,SC_ADDR_INIT,,3,26,[9:0] ~ [21:0],RW,DE0001E8,,"range(0, 2**22)",Initial address of channel-wise SCALE coefficients,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2*22-1,power of GEMM_I
FME0,SH_ADDR_INIT,,3,27,[9:0] ~ [21:0],RW,DE0001EC,,"range(0, 2**22)",Initial address of channel-wise SHIFT coefficients,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2*22-1,power of GEMM_I
FME0,RESERVE28,,3,28,,NA,DE0001F0,,,,,,,,
FME0,EW_OP_EXT0,EW_LOAD_TABLE_SIZE,3,29,[21],RW,DE0001F8,"0: 256_ENTRY
1: 512_ENTRY","[0,1]","Load table size
0: 256 entries
1: 512 entries",0,,,,
FME0,EW_OP_EXT0,EW_OP_CONTROL,3,29,[20],RW,DE0001F8,"0: EW_OP_EXT0_IDX_DISABLE
1: EW_OP_EXT0_IDX_ENABLE","[0,1]","0: EW_OP_EXT0_IDX disable
1: EW_OP_EXT0_IDX enable",0,,,,
FME0,EW_OP_EXT0,EW_OP_ORDER,3,29,[19],RW,DE0001F8,"0: IM_ACC_IFM1_EM_IFM2
1: IM_ACC_IFM2_EM_IFM1","[0,1]","0:IM/ACC path is IFM1, EM path is IFM2
1:IM/ACC path is IFM2, EM path is IFM1",0,,,,
FME0,EW_OP_EXT0,EW_OP_BROADCAST_CONTROL,3,29,[18],RW,DE0001F8,"0: BROADCAST_DISABLE
1: BROADCAST_ENABLE","[0,1]","0: element-wise broadcast disable
1: element-wise broadcast enable",0,,,,
FME0,EW_OP_EXT0,EW_OP_BROADCAST_MODE,3,29,[17:15],RW,DE0001F8,"0: C
1: W
2: H
3: CW
4: CH
5: WH
6: POINT
7: RESERVE3","range(0,7)","The broadcast mode
0: broadcast C
1: broadcast W
2: broadcast H
3: broadcast CW
4: broadcast CH
5: broadcast WH
6: broadcast point",0,,,,
FME0,EW_OP_EXT0,EW_ACT_SRC_DOMAIN,3,29,[14:13],RW,DE0001F8,"1: S8
2: S16
3: S32","[1,2,3]","activation input data type
0: s4 (no use)
1: s8
2: s16
3: s32",0,,,,
FME0,EW_OP_EXT0,EW_REDUCE_DIMENSION,3,29,[12:11],RW,DE0001F8,"0: C
1: W
2: H","[0,1,2]",,0,,,,
FME0,EW_OP_EXT0,EW_IN_DOUBLE_ROUND,3,29,[10],RW,DE0001F8,"0: DISABLE
1: ENABLE","[0,1]","0: disable input scaling double rounding
1: enable input scaling double rounding",0,,,,
FME0,EW_OP_EXT0,EW_OUT_DOUBLE_ROUND,3,29,[9],RW,DE0001F8,"0: DISABLE
1: ENABLE","[0,1]","0: disable output scaling double rounding
1: enable output scaling double rounding",0,,,,
FME0,EW_OP_EXT0,EW_ASHR_ROUND,3,29,[8],RW,DE0001F8,"0: DISABLE
1: ENABLE","[0,1]","for ""EW_SHR""
0: disable arithmetic right shift rounding
1: enable  arithmetic right shift rounding",0,,,,
FME0,EW_OP_EXT0,EW_OP_EXT0_IDX,3,29,[5:0],RW,DE0001F8,"0: EW_MIN
1: EW_MAX
2: EW_SQRT
3: EW_SHR
4: EW_LSHR
5: EW_LSHL
6: EW_LRELU
7: EW_DIV
8: EW_CMP_EQ
9: EW_CMP_NE
10: EW_CMP_GE
11: EW_CMP_GT
12: AND
13: OR
14: XOR
15: NOT
16: AND_NOT
17: ABS
18: CLZ
19: REQUANT","range(0,20)","The element-wise operations [5:0] part
0: EW_MIN
1: EW_MAX
2: EW_SQRT
3: EW_SHR
4: EW_LSHR
5: EW_LSHL
6: EW_LRELU(MULT)
7: EW_DIV
8: EW_CMP_EQ
9: EW_CMP_NE
10: EW_CMP_GE
11: EW_CMP_GT
12: AND
13: OR
14: XOR
15: NOT
16: AND_NOT
17: ABS
18: CLZ
19: REQUANT",0,,,,
LDMA2,MODE_CTRL,,6,0,[0],RW,DE000300,"0: DISABLE_TINY
1: ENABLE_TINY",,1: tiny_channel enable ,0,,,,
LDMA2,ROLL_IC_IW_W_PAD_SIZE,,6,1,[9:0] ~ [21:0],RW,DE000304,,,"ic * (iw+roll_pad_w_left+roll_pad_w_right) size, byte",0,`ANDLA_IBMC_ADDR_BITWIDTH+1,,,
LDMA2,ROLL_IC_KW_SIZE,,6,2,[3:0] ~ [9:0],RW,DE000308,,,,0,$clog2(`ANDLA_GEMM_I)+1,,,
LDMA2,ROLL_KR_STRIDE_W_SIZE,,6,3,[3:0] ~ [9:0],RW,DE00030C,,,,0,$clog2(`ANDLA_GEMM_I)+1,,,
LDMA2,ROLL_PAD_W_LEFT_W_IC_SIZE,,6,4,[3:0] ~ [11:0],RW,DE000310,,,,0,$clog2(`ANDLA_GEMM_I)+3,,,
LDMA2,ROLL_PAD_W_RIGHT_W_IC_SIZE,,6,5,[3:0] ~ [11:0],RW,DE000314,,,,0,$clog2(`ANDLA_GEMM_I)+3,,,
LDMA2,ROLL_PAD_H_SIZE,,6,6,[5:0],RW,DE000318,,,,0,,,,
CDMA,SFENCE,,7,0,[21:0],RW,DE000380,,,"Start command with fence behavior. Command includes 5 targets which are
FME, LDMA, SDMA and CDMA, and it can determine which target has to block.
It is a command when write operation, and it is a register when read operation.
0: non-blocking
1: blocking
Command Format: ( (BASE_ADDR_SEL[2:0]<<18) | (FME << 3) | (LDMA << 2) | (SDMA << 1) | (CDMA << 0))
0: disable interrupt
1: enable interrupt
Command Format: (Interrupt enable << 21)",0,,,,
CDMA,DIRECTION,,7,1,[0],RW,DE000384,"0: READ_MODE
1: WRITE_MODE",,"0: read from BMC (BMC -> DLA)(LDMA/CDMA)
1: write to BMC (DLA -> BMC)(SDMA)",0,,,,
CDMA,EXRAM_ADDR,LSB,7,2,[21:0],RW,DE000388,,,DRAM addr (22 bits LSB),0,,,,
CDMA,EXRAM_ADDR,MSB,7,3,[9:0],RW,DE00038C,,,DRAM addr (10 bits MSB),0,,,,
CDMA,EXRAM_C,,7,4,[21:0],RW,DE000390,,,Command Size C Channel (unit: Byte),4,,,,
CDMA,EXRAM_W,,7,5,[15:0],RW,DE000394,,,Command Size W Channel (unit: Byte),1,,,,
CDMA,EXRAM_STRIDE_W,,7,6,[21:0],RW,DE000398,,,,4,,,,
